epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.71002,1.00915,0.41176,1,1.03288,0.00011432,0.00011432,0.00011432
2,2.28335,0.83815,0.35294,1,1.07375,0.000240525,0.000240525,0.000240525
3,2.78936,0.67924,0.35294,1,0.95261,0.000364184,0.000364184,0.000364184
4,3.28085,0.53786,0.76471,1,0.71638,0.000485296,0.000485296,0.000485296
5,3.79596,0.39518,0.82353,1,0.56817,0.000603861,0.000603861,0.000603861
6,4.29527,0.36802,0.70588,1,0.5388,0.00071988,0.00071988,0.00071988
7,4.78598,0.23431,0.76471,1,0.54404,0.000833353,0.000833353,0.000833353
8,5.27307,0.1617,0.82353,1,0.38859,0.000944279,0.000944279,0.000944279
9,5.82199,0.17955,0.94118,1,0.51729,0.00105266,0.00105266,0.00105266
10,6.31177,0.10503,0.94118,1,0.47123,0.00115849,0.00115849,0.00115849
11,6.83258,0.15877,0.94118,1,0.2084,0.00126178,0.00126178,0.00126178
12,7.33862,0.14222,0.94118,1,0.11535,0.00127338,0.00127338,0.00127338
13,7.8576,0.1399,0.94118,1,0.37023,0.00125923,0.00125923,0.00125923
14,8.35281,0.05751,0.82353,1,0.56076,0.00124509,0.00124509,0.00124509
15,8.8393,0.05841,0.94118,1,0.25398,0.00123094,0.00123094,0.00123094
16,9.32242,0.09815,1,1,0.05568,0.00121679,0.00121679,0.00121679
17,9.81322,0.01659,1,1,0.06111,0.00120265,0.00120265,0.00120265
18,10.3324,0.08637,0.94118,1,0.10663,0.0011885,0.0011885,0.0011885
19,10.8093,0.10495,1,1,0.05284,0.00117435,0.00117435,0.00117435
20,11.3898,0.03555,0.94118,1,0.07661,0.00116021,0.00116021,0.00116021
21,11.9409,0.01696,0.94118,1,0.07788,0.00114606,0.00114606,0.00114606
22,12.4705,0.05672,0.94118,1,0.06698,0.00113191,0.00113191,0.00113191
23,12.9905,0.10773,1,1,0.03792,0.00111776,0.00111776,0.00111776
24,13.6512,0.10691,1,1,0.01668,0.00110362,0.00110362,0.00110362
25,14.2619,0.04966,1,1,0.01435,0.00108947,0.00108947,0.00108947
26,14.836,0.0697,1,1,0.01381,0.00107532,0.00107532,0.00107532
27,15.4254,0.04382,1,1,0.03546,0.00106118,0.00106118,0.00106118
28,15.9916,0.06631,0.94118,1,0.20589,0.00104703,0.00104703,0.00104703
29,16.5791,0.1034,0.94118,1,0.28768,0.00103288,0.00103288,0.00103288
30,17.1267,0.06096,0.94118,1,0.44588,0.00101873,0.00101873,0.00101873
31,17.7211,0.07085,0.94118,1,0.52267,0.00100459,0.00100459,0.00100459
32,18.4827,0.05593,0.94118,1,0.53789,0.00099044,0.00099044,0.00099044
33,19.0717,0.05657,0.94118,1,0.49941,0.000976293,0.000976293,0.000976293
34,19.6721,0.02593,0.94118,1,0.47215,0.000962146,0.000962146,0.000962146
35,20.2221,0.05622,0.94118,1,0.41618,0.000947999,0.000947999,0.000947999
36,20.8152,0.07893,0.94118,1,0.3148,0.000933851,0.000933851,0.000933851
37,21.423,0.01544,0.94118,1,0.36032,0.000919704,0.000919704,0.000919704
38,24.0978,0.03398,0.94118,1,0.38391,0.000905557,0.000905557,0.000905557
39,24.6678,0.055,0.94118,1,0.34982,0.00089141,0.00089141,0.00089141
40,25.2385,0.01845,0.94118,1,0.39853,0.000877263,0.000877263,0.000877263
41,25.8376,0.01405,0.94118,1,0.32939,0.000863116,0.000863116,0.000863116
42,26.4262,0.09179,0.94118,1,0.35793,0.000848969,0.000848969,0.000848969
43,26.9857,0.01294,0.88235,1,0.47582,0.000834822,0.000834822,0.000834822
44,27.5866,0.06486,0.94118,1,0.53294,0.000820675,0.000820675,0.000820675
45,28.1165,0.02717,0.94118,1,0.46848,0.000806528,0.000806528,0.000806528
46,28.6956,0.05049,0.94118,1,0.33647,0.00079238,0.00079238,0.00079238
47,29.2694,0.03713,0.94118,1,0.37958,0.000778233,0.000778233,0.000778233
48,29.9211,0.06215,0.94118,1,0.24452,0.000764086,0.000764086,0.000764086
49,30.6244,0.03239,0.94118,1,0.21573,0.000749939,0.000749939,0.000749939
50,31.2219,0.00339,0.94118,1,0.19284,0.000735792,0.000735792,0.000735792
51,31.7316,0.01997,0.94118,1,0.12439,0.000721645,0.000721645,0.000721645
52,32.2532,0.02078,0.94118,1,0.05826,0.000707498,0.000707498,0.000707498
53,32.7835,0.06742,0.94118,1,0.05285,0.000693351,0.000693351,0.000693351
54,33.2841,0.01571,0.94118,1,0.07665,0.000679204,0.000679204,0.000679204
55,33.7937,0.06369,0.94118,1,0.09741,0.000665057,0.000665057,0.000665057
56,34.3377,0.01475,0.94118,1,0.1325,0.000650909,0.000650909,0.000650909
57,34.8698,0.04241,0.94118,1,0.12886,0.000636762,0.000636762,0.000636762
58,35.3781,0.05814,0.94118,1,0.11196,0.000622615,0.000622615,0.000622615
59,35.9141,0.0088,0.94118,1,0.08942,0.000608468,0.000608468,0.000608468
60,36.4609,0.04424,1,1,0.07054,0.000594321,0.000594321,0.000594321
61,36.9981,0.01157,0.94118,1,0.0653,0.000580174,0.000580174,0.000580174
62,37.5173,0.01265,1,1,0.03069,0.000566027,0.000566027,0.000566027
63,38.073,0.01891,0.94118,1,0.08349,0.00055188,0.00055188,0.00055188
64,38.6159,0.01215,0.94118,1,0.04676,0.000537733,0.000537733,0.000537733
65,39.1545,0.0187,0.94118,1,0.04985,0.000523586,0.000523586,0.000523586
66,39.6883,0.01473,1,1,0.0382,0.000509438,0.000509438,0.000509438
67,40.2192,0.01025,0.94118,1,0.05369,0.000495291,0.000495291,0.000495291
68,40.7306,0.02159,0.94118,1,0.04364,0.000481144,0.000481144,0.000481144
69,41.2625,0.01822,0.94118,1,0.06137,0.000466997,0.000466997,0.000466997
70,41.7737,0.01117,0.94118,1,0.04717,0.00045285,0.00045285,0.00045285
71,42.2945,0.03287,1,1,0.03534,0.000438703,0.000438703,0.000438703
72,42.826,0.01691,1,1,0.01818,0.000424556,0.000424556,0.000424556
73,43.3448,0.01147,1,1,0.03091,0.000410409,0.000410409,0.000410409
74,43.8967,0.04211,1,1,0.01319,0.000396262,0.000396262,0.000396262
75,44.4156,0.03604,1,1,0.01573,0.000382115,0.000382115,0.000382115
76,44.9452,0.04049,1,1,0.00795,0.000367967,0.000367967,0.000367967
77,45.48,0.01123,1,1,0.00702,0.00035382,0.00035382,0.00035382
78,46.0002,0.0333,1,1,0.00487,0.000339673,0.000339673,0.000339673
79,46.5232,0.01008,1,1,0.00571,0.000325526,0.000325526,0.000325526
80,47.0844,0.01131,1,1,0.00773,0.000311379,0.000311379,0.000311379
81,47.6294,0.00665,1,1,0.01096,0.000297232,0.000297232,0.000297232
82,48.142,0.01337,1,1,0.01093,0.000283085,0.000283085,0.000283085
83,48.6593,0.00836,1,1,0.00721,0.000268938,0.000268938,0.000268938
84,49.2177,0.00824,1,1,0.00708,0.000254791,0.000254791,0.000254791
85,49.7684,0.02099,1,1,0.00858,0.000240644,0.000240644,0.000240644
86,50.3296,0.00616,1,1,0.00839,0.000226497,0.000226497,0.000226497
87,50.8774,0.01006,1,1,0.00723,0.000212349,0.000212349,0.000212349
88,51.4107,0.02371,1,1,0.02092,0.000198202,0.000198202,0.000198202
89,51.9386,0.00802,1,1,0.01612,0.000184055,0.000184055,0.000184055
90,52.4423,0.009,1,1,0.0218,0.000169908,0.000169908,0.000169908
91,53.5232,0.01002,1,1,0.01835,0.000155761,0.000155761,0.000155761
92,54.1202,0.00806,1,1,0.01226,0.000141614,0.000141614,0.000141614
93,54.634,0.04269,1,1,0.02738,0.000127467,0.000127467,0.000127467
94,55.1576,0.00395,1,1,0.01385,0.00011332,0.00011332,0.00011332
95,55.6844,0.00262,1,1,0.01041,9.91726e-05,9.91726e-05,9.91726e-05
96,57.5562,0.00242,1,1,0.01864,8.50255e-05,8.50255e-05,8.50255e-05
97,58.1066,0.01204,1,1,0.01326,7.08784e-05,7.08784e-05,7.08784e-05
98,58.6315,0.02578,1,1,0.01542,5.67313e-05,5.67313e-05,5.67313e-05
99,59.1831,0.01383,1,1,0.01153,4.25842e-05,4.25842e-05,4.25842e-05
100,59.7355,0.01281,1,1,0.01129,2.84371e-05,2.84371e-05,2.84371e-05
