epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.75368,0.8685,0.82243,1,0.4362,0.0002858,0.0002858,0.0002858
2,4.40131,0.50738,0.92523,1,0.23182,0.00058009,0.00058009,0.00058009
3,5.92996,0.34123,0.95327,1,0.15933,0.000868438,0.000868438,0.000868438
4,7.40977,0.2254,0.97196,1,0.12728,0.00115084,0.00115084,0.00115084
5,8.88529,0.22438,0.96262,1,0.13019,0.00137241,0.00137241,0.00137241
6,12.4962,0.19891,0.97196,1,0.12901,0.00135826,0.00135826,0.00135826
7,13.9666,0.27441,0.95327,1,0.11135,0.00134412,0.00134412,0.00134412
8,15.3778,0.14533,0.97196,1,0.04526,0.00132997,0.00132997,0.00132997
9,16.8092,0.1312,0.99065,1,0.03513,0.00131582,0.00131582,0.00131582
10,18.3047,0.14867,1,1,0.0105,0.00130168,0.00130168,0.00130168
11,19.8488,0.13179,0.99065,1,0.01264,0.00128753,0.00128753,0.00128753
12,21.4192,0.10721,0.98131,1,0.04276,0.00127338,0.00127338,0.00127338
13,22.8385,0.1115,1,1,0.04495,0.00125923,0.00125923,0.00125923
14,24.6661,0.09389,0.98131,1,0.07697,0.00124509,0.00124509,0.00124509
15,26.2944,0.21509,1,1,0.01617,0.00123094,0.00123094,0.00123094
16,27.8559,0.08361,0.98131,1,0.03409,0.00121679,0.00121679,0.00121679
17,29.3385,0.09047,0.98131,1,0.02979,0.00120265,0.00120265,0.00120265
18,30.8557,0.14451,1,1,0.00318,0.0011885,0.0011885,0.0011885
19,32.4639,0.12843,0.98131,1,0.05077,0.00117435,0.00117435,0.00117435
20,33.905,0.1055,0.99065,1,0.01257,0.00116021,0.00116021,0.00116021
21,35.3058,0.06692,0.97196,1,0.03713,0.00114606,0.00114606,0.00114606
22,36.6924,0.0984,1,1,0.00755,0.00113191,0.00113191,0.00113191
23,38.4518,0.10755,0.98131,1,0.04841,0.00111776,0.00111776,0.00111776
24,40.3201,0.10281,1,1,0.02171,0.00110362,0.00110362,0.00110362
25,41.7676,0.06781,0.98131,1,0.06339,0.00108947,0.00108947,0.00108947
26,43.155,0.09072,0.99065,1,0.03484,0.00107532,0.00107532,0.00107532
27,46.5038,0.06034,0.99065,1,0.02629,0.00106118,0.00106118,0.00106118
28,47.9361,0.10664,1,1,0.01214,0.00104703,0.00104703,0.00104703
29,49.409,0.05047,0.99065,1,0.01371,0.00103288,0.00103288,0.00103288
30,51.2138,0.08637,1,1,0.01878,0.00101873,0.00101873,0.00101873
31,52.8046,0.04533,0.98131,1,0.02806,0.00100459,0.00100459,0.00100459
32,54.2112,0.07629,1,1,0.00509,0.00099044,0.00099044,0.00099044
33,55.7438,0.0609,0.99065,1,0.00775,0.000976293,0.000976293,0.000976293
34,57.1349,0.03619,0.99065,1,0.01465,0.000962146,0.000962146,0.000962146
35,58.6045,0.04983,0.99065,1,0.01665,0.000947999,0.000947999,0.000947999
36,60.0003,0.06943,0.99065,1,0.01987,0.000933851,0.000933851,0.000933851
37,61.3897,0.04738,0.99065,1,0.01386,0.000919704,0.000919704,0.000919704
38,62.7957,0.05107,0.99065,1,0.01197,0.000905557,0.000905557,0.000905557
39,64.2046,0.04747,0.99065,1,0.00807,0.00089141,0.00089141,0.00089141
40,65.5967,0.07346,0.99065,1,0.02007,0.000877263,0.000877263,0.000877263
41,66.9889,0.0331,0.99065,1,0.02526,0.000863116,0.000863116,0.000863116
42,68.4092,0.05425,0.99065,1,0.02069,0.000848969,0.000848969,0.000848969
43,69.8593,0.1316,0.99065,1,0.01337,0.000834822,0.000834822,0.000834822
44,71.2476,0.05904,0.99065,1,0.02127,0.000820675,0.000820675,0.000820675
45,72.6372,0.0626,0.99065,1,0.0146,0.000806528,0.000806528,0.000806528
