epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.95966,2.08021,3.56354,2.03322,0.00372,0.92647,0.09868,0.03018,1.94723,3.91957,2.60862,8.75e-05,8.75e-05,8.75e-05
2,3.41563,1.69959,3.4035,1.8689,0.00387,0.92647,0.11903,0.04755,1.83867,3.93238,2.61482,0.000185644,0.000185644,0.000185644
3,4.82745,1.69518,3.17425,1.75789,0.00371,0.91176,0.28369,0.09387,1.79322,3.90908,2.6326,0.000281807,0.000281807,0.000281807
4,6.23274,1.70459,2.9346,1.80745,0.00393,0.94118,0.23596,0.07285,1.51988,3.74655,2.19346,0.000375991,0.000375991,0.000375991
5,7.60886,1.65336,2.64461,1.67812,0.34054,0.28824,0.22849,0.08151,1.52761,3.56269,2.12304,0.000468195,0.000468195,0.000468195
6,9.0036,1.60747,2.53098,1.82886,0.90875,0.05184,0.35633,0.14974,1.54524,3.39739,2.14792,0.000558419,0.000558419,0.000558419
7,10.4255,1.51022,2.46597,1.74532,0.93534,0.07753,0.41082,0.17551,1.53435,3.27982,2.10421,0.000646662,0.000646662,0.000646662
8,11.8362,1.5517,2.31629,1.69397,0.84063,0.34695,0.5589,0.2949,1.47673,2.98059,2.07495,0.000732926,0.000732926,0.000732926
9,13.2604,1.64119,2.24391,1.69514,0.78087,0.48956,0.57318,0.23628,1.66315,2.74814,2.30054,0.00081721,0.00081721,0.00081721
10,14.6597,1.55492,1.99965,1.64034,0.72813,0.484,0.56953,0.235,1.7447,2.7502,2.36134,0.000899514,0.000899514,0.000899514
11,16.0531,1.6064,2.08577,1.67358,0.60092,0.53015,0.52652,0.23952,1.71562,2.60781,2.31448,0.000979838,0.000979838,0.000979838
12,20.6158,1.6579,2.25363,1.72936,0.77016,0.38921,0.52285,0.23592,1.48543,2.58402,1.86972,0.00105818,0.00105818,0.00105818
